"Cost Name","Remind Code","Subject Code",Category,On/Off,Remark,Creator,"Creation Time"
其他往来费用,01009,01009,ADJUST,On,,Admin,"2024-05-27 14:35:39"
政策支持款,03001,03001,ADJUST,On,,Admin,"2024-05-27 14:55:01"
"OPPO 返点",02001,02001,ADJUST,On,,Admin,"2024-05-27 14:55:20"
"realme 返点",01002,01002,ADJUST,On,,Admin,"2024-05-27 14:55:39"
realme货款,01001,01001,ADJUST,On,,Admin,"2024-05-27 14:56:02"
往来调整,WLTZ,,ADJUST,On,,Admin,"2024-05-27 14:56:18"
领用核销,LYHX,,ADJUST,On,内部领用手机，已经完成内部费用核销流程，对此部分欠款进行核销,Admin,"2024-05-27 14:56:45"
抹零调整,MLTL,,ADJUST,On,汇款金额与实际应收金额的小额差异,Admin,"2024-05-27 15:00:45"
期初数据,QCSJ,,ADJUST,On,,Admin,"2024-05-27 15:01:08"
"Policy support",PS,,OTHERS,On,,Admin,"2024-05-27 15:02:04"
OTHER,OTH,,OTHERS,On,,Admin,"2024-07-05 16:29:40"
